キー	旧・英文	旧・訳	新・英文	新・訳
mimic	The child tried to mimic her mother's accent, but it didn't quite sound right.	その子は母親の発音をまねようとしたが、うまくいかなかった。	Parrots can mimic human speech with astonishing accuracy and clarity.	オウムは驚くほどの正確さと明瞭さで人間の話し方をまねることができる。
mind	Try to keep an open mind when considering different perspectives on the issue.	問題についてさまざまな視点を検討する際には、オープンな心を持つように心がけてください。	Keeping a clear mind helps you make better decisions under pressure.	落ち着いた心を保つことは、プレッシャーの中でより良い決断をする助けになる。
mine	The detective searched the abandoned house for clues, hoping to find a hidden mine of information.	刑事が放置された家を捜索し、隠された情報源を見つけようとした。	Deep underground, miners still work the abandoned coal mine daily.	地下深くで、鉱夫たちは今も放棄された炭鉱で毎日働いている。
mineral	The geologist identified several valuable minerals in the rock sample collected from the mine.	地質学者は鉱山から採取された岩石サンプルの中にいくつかの貴重なミネラルを特定しました。	Geologists discovered a rare mineral hidden beneath the mountain range.	地質学者たちは山脈の下に隠れていた珍しい鉱物を発見した。
mingle	Attendees are encouraged to mingle and network during the conference reception.	参加者には、会議のレセプションで交流するように勧められています。	Guests began to mingle freely during the long wedding reception.	招待客たちは長い結婚披露宴の間自由に付き合い始めた。
miniature	She collected miniature porcelain figures, displaying them carefully on her shelves.	彼女は小さな磁器の人形を収集し、丁寧に棚に並べた。	She collects miniature models of famous European castles and palaces.	彼女はヨーロッパの有名な城や宮殿の小模型を集めている。
minimal	The project required minimal effort and time, making it a pleasant surprise for everyone involved.	そのプロジェクトは最小限の労力と時間しか必要とせず、関係者全員にとって良い驚きだった。	The renovation needed only minimal changes to the old structure.	その改装は古い建物にごくわずかな最小限の変更しか必要としなかった。
minimum	Students must achieve a minimum score of 60% to pass the final exam.	学生は最終試験に合格するために、最低60％以上の点数を取る必要があります。	Employees must complete a minimum of forty training hours yearly.	従業員は毎年最小限度でも40時間の研修を修了しなければならない。
minister	The minister of education announced new reforms for the national curriculum today.	教育大臣は本日、国家カリキュラムの新改革を発表しました。	The foreign minister announced new economic reforms early yesterday afternoon.	外務大臣は昨日の午後早くに新しい経済改革を発表した。
ministry	The ministry of education announced new guidelines regarding student assessment.	文部科学省が学生評価に関する新しいガイドラインを発表した。	The ministry released a detailed report on rising unemployment rates.	その省庁は失業率の上昇に関する詳細な報告書を発表した。
minor	Despite the minor setback, the team remained optimistic about completing the project on time.	些細な問題にもかかわらず、チームはプロジェクトを予定通りに完了できることに楽観的でした。	Luckily, she suffered only minor injuries in the crash.	幸い、彼女はその衝突事故で軽微なけがしか負わなかった。
minting	The Royal Mint is currently minting a commemorative coin to celebrate the Queen’s Jubilee.	ロイヤルミントは、女王の在位70周年を記念する記念硬貨を鋳造中です。	The minting of new commemorative coins began right after the ceremony.	新しい記念硬貨の鋳造はその式典の直後に始まった。
minute	Please wait just a minute while I finish this important email.	今、この重要なメールを書き終えるので、ほんの一分お待ちください。	The train will leave in exactly ten minutes from platform three.	電車は3番ホームからちょうど10分後に出発する。
miracle	Scientists are still baffled by the seemingly miraculous recovery of the patient.	科学者たちは、患者の不思議なほど迅速な回復に今も当惑している。	Doctors called her sudden recovery nothing short of a miracle.	医師たちは彼女の突然の回復をまさに奇跡だと呼んだ。
mirror	She paused to check her appearance in the antique mirror hanging on the wall.	彼女は壁に掛けられたアンティークの鏡で自分の容姿を確認するために立ち止まった。	She checked her tired reflection in the bathroom mirror quietly.	彼女は静かに浴室の鏡で疲れた自分の姿を確認した。
miscellaneous	The donation box contained a collection of miscellaneous items, from old toys to forgotten letters.	寄付箱には、古いおもちゃから忘れられた手紙まで、様々な品物が含まれていた。	The drawer was filled with miscellaneous items nobody seemed to need.	その引き出しは誰も必要としていない種々雑多な物でいっぱいだった。
mischief	The children’s harmless mischief made everyone laugh during the school festival.	子供たちの無邪気ないたずらは、学校祭でみんなを笑顔にしました。	The twins were always getting into mischief after school ended.	その双子はいつも放課後にいたずらばかりしていた。
mischievous	With a mischievous grin, he hid her favorite pen just to see her reaction.	いたずらっぽい笑みを浮かべ、彼は彼女の好きなペンを隠して反応を見ようとしました。	A mischievous grin slowly spread across the young boy's face.	いたずらな笑みがゆっくりとその少年の顔に広がった。
misconception	Many people have the misconception that studying abroad guarantees immediate career success.	留学が必ずしもすぐにキャリアの成功をもたらすと多くの人が誤解している。	Many people share a common misconception about how vaccines actually work.	多くの人はワクチンの実際の仕組みについて共通の誤解を抱いている。
misdeed	The school principal addressed the student's misdeed and emphasized the importance of responsibility.	校長先生は生徒の悪行について話し、責任感を持つことの大切さを強調しました。	At last, the old king admitted his past misdeeds to the court.	ついに、その老王は自分の過去の悪行を宮廷で認めた。
miserable	The team felt miserable after losing the championship game by such a large margin.	チームは、あのような大きな差で選手権を負けた後、とてもひどく落ち込んだ。	He felt utterly miserable after losing his job last winter.	彼は去年の冬に職を失ってひどく悲惨な気持ちになった。
misery	The long hours and constant pressure seemed to deepen his misery, affecting his health.	長時間労働と絶え間ないプレッシャーは彼の悲惨さを深め、健康に影響を与えた。	The long war brought years of misery to the entire region.	その長い戦争はその地域全体に何年もの悲惨さをもたらした。
misfortune	Despite his misfortune, he remained optimistic and continued to pursue his dreams.	彼の不運にもかかわらず、彼は楽観的で夢を追い続けました。	Despite his constant misfortune, he never stopped smiling at strangers.	絶え間ない不幸にもかかわらず、彼は見知らぬ人にほほ笑むのをやめなかった。
mislead	The misleading advertisement confused many customers about the product's capabilities.	誤解を招く広告は多くの顧客に製品の機能について混乱を与えました。	The advertisement was designed to mislead unsuspecting customers about the price.	その広告は疑いを持たない客を価格について誤解させるように作られていた。
misleading	The advertisement's carefully chosen images were misleading, suggesting a luxury experience that didn’t exist.	その広告の慎重に選ばれた画像は、実際には存在しない贅沢な体験をほのめかすようなまぎらわしさがありました。	Many readers found the headline misleading because it did not match the article.	多くの読者はその見出しが記事の内容と一致しないため誤解を招きやすいと感じた。
miss	I really miss my family and friends back home, especially during holidays.	特に休暇中には、実家や友達に会えなくてとても寂しいです。	She will miss her old friends after moving abroad.	海外に引っ越した後、彼女は昔の友人たちがいなくてさみしく思うだろう。
miss_out_on	Don't miss out on this incredible opportunity to study abroad in Japan.	日本で留学するこの素晴らしい機会を逃さないでください。	Because he overslept, he missed out on the early morning flight.	彼は寝坊したので、早朝の便を逃してしまった。
missing	The police are still searching for the missing hiker who disappeared in the mountains.	警察は今も山中で姿を消した行方不明のハイカーを探している。	The missing hiker was finally found safe near the river.	その行方不明の登山者はついに川の近くで無事発見された。
mission	The rescue team's mission was to locate survivors in the earthquake-stricken area.	救助隊の使命は、地震に見舞われた地域で生存者を捜索することでした。	The astronauts completed their mission and returned safely to Earth.	宇宙飛行士たちは任務を終えて無事に地球へ帰還した。
missionary	The missionary dedicated his life to helping underserved communities and spreading his faith.	その宣教師は、恵まれない地域の人々を助け、信仰を広めることに人生を捧げました。	The missionary spent thirty years teaching in a remote village.	その伝道者は僻地の村で30年間教えて過ごした。
mistake	It’s okay to make a mistake; it's how we learn and improve our skills.	間違いをするのは大丈夫です。それが私たちの学びとスキルアップの方法なのです。	His careless mistake cost the team an important victory that day.	彼の不注意な間違いはその日チームから重要な勝利を奪った。
mistake_a_for_b	I mistakenly took her bag for mine in the crowded airport terminal.	混雑した空港のターミナルで、誤って彼女のバッグを私のものと間違えてしまった。	People often mistake him for his older twin brother at parties.	人々はパーティーで彼をよく年上の双子の兄と間違える。
mistakenly	I mistakenly deleted the important file, and now I need to recover it from the backup.	重要なファイルを誤って削除してしまったので、バックアップから復元する必要がある。	She mistakenly sent the confidential email to the wrong client.	彼女は間違って機密のメールを違う取引先に送ってしまった。
misunderstand	I think you might misunderstand my intentions; I meant no harm.	私の意図を誤解しているかもしれません。悪気はありませんでした。	Please do not misunderstand me, since I meant no offense at all.	悪気は全くなかったので、どうか私を誤解しないでください。
misunderstanding	There was a misunderstanding about the meeting time, so I arrived late.	会議の時間に関する誤解があり、私は遅刻してしまいました。	A simple misunderstanding nearly ended their long and close friendship.	些細な誤解が彼らの長く親密な友情をほとんど終わらせるところだった。
mitigate	We can mitigate the environmental impact by using renewable energy sources.	再生可能エネルギー源を使用することで、環境への影響を緩和することができます。	New government regulations aim to mitigate the effects of climate change.	新しい政府の規制は気候変動の影響を緩和することを目指している。
mix	Please mix the flour, sugar, and eggs thoroughly before adding them to the pan.	フライパンに加える前に、小麦粉、砂糖、卵をよく混ぜてください。	Carefully mix the flour and sugar before adding the eggs.	卵を加える前に小麦粉と砂糖を丁寧に混ぜてください。
mixture	The cake batter was a delicious mixture of chocolate and vanilla flavors.	ケーキの生地はチョコレートとバニラの風味を混ぜ合わせた美味しいものだった。	The cake batter is a mixture of flour, sugar, and butter.	そのケーキの生地は小麦粉と砂糖とバターの混合物だ。
moan	He let out a low moan of pain after twisting his ankle badly.	彼は足首をひどく捻った後、痛みをうめき声に出した。	The injured player moaned loudly in pain on the field.	けがをした選手はグラウンドで痛みのため大きくうめき声を出した。
mob	The angry mob protested outside the government building, chanting slogans loudly.	怒りの群衆が政府庁舎の外でスローガンを叫びながら抗議活動を行った。	An angry mob gathered outside the courthouse after the verdict.	評決の後、怒った群衆が裁判所の外に集まった。
mobile	She received a text message on her mobile phone during the lecture.	彼女は講義中に携帯電話でテキストメッセージを受け取りました。	She left her mobile on the kitchen counter again.	彼女はまた携帯電話をキッチンの調理台に置き忘れた。
mobility	Improved public transportation increases the mobility of people in urban areas.	公共交通機関の改善は、都市部の住民の移動しやすさを向上させます。	Thanks to the new wheelchair, his mobility around the house improved greatly.	その新しい車いすのおかげで、彼の家の中での可動性は大きく改善した。
mobilize	The organization needs to mobilize volunteers quickly for disaster relief efforts.	その組織は災害救援活動のために迅速にボランティアを動員する必要がある。	The government moved quickly to mobilize troops along the northern border.	政府は北部の国境沿いに軍隊を動員するため迅速に動いた。
mock	The students mock their teacher's outdated jokes, but they secretly admire his dedication.	生徒たちは先生の時代遅れのジョークをからかうが、実は彼の献身を尊敬している。	Students took a mock exam to prepare for their finals.	学生たちは期末試験に備えて模擬試験を受けた。
mode	The company switched to online sales mode during the pandemic, reaching a wider customer base.	会社はパンデミック中にオンライン販売モードに切り替え、より広い顧客層にリーチしました。	The factory switched to a new production mode to cut costs.	その工場はコスト削減のため新しい生産方式に切り替えた。
model	She hopes to become a fashion model someday, traveling the world and showcasing beautiful clothes.	彼女はいつかファッションモデルになり、世界中を旅して美しい服を紹介することを夢見ています。	The engineer built a small model of the proposed bridge.	その技術者は提案された橋の小さな模型を作った。
moderate	For a healthy lifestyle, it's best to consume alcohol in moderate amounts and regularly exercise.	健康的なライフスタイルを送るためには、適量のアルコールを摂取し、定期的に運動するのが最適です。	Doctors generally recommend moderate exercise several times a week for health.	医師は一般的に健康のため週に数回の適度な運動を勧める。
moderation	In moderation, coffee can offer some health benefits without negative side effects.	適度な量であれば、コーヒーは副作用なしにいくつかの健康上の利点をもたらす可能性があります。	Even healthy foods should be eaten in moderation every single day.	健康的な食品でさえ毎日適度に食べるべきだ。
modern	The museum showcases modern art from various countries and time periods.	その美術館は様々な国や時代の現代美術を紹介している。	The old temple stood beside a surprisingly modern glass building.	古い寺は驚くほど近代的なガラスの建物のそばに立っていた。
modernization	The country's modernization involved significant investment in infrastructure and technology.	その国の近代化には、インフラと技術への多大な投資が含まれていました。	Rapid modernization transformed the small fishing village within a single generation.	急速な近代化はたった一世代でその小さな漁村を一変させた。
modest	She led a modest lifestyle, preferring experiences over material possessions.	彼女は質素な生活を送っており、物質的なものよりも経験を大切にしている。	Despite his fame, the actor remained remarkably modest about his achievements.	彼は有名にもかかわらず、自分の功績について驚くほど謙虚なままだった。
modify	The architect had to modify the original design after receiving feedback from the clients.	建築家は顧客からのフィードバックを受けた後、元のデザインを修正する必要がありました。	Engineers had to modify the design after several safety tests failed.	技術者たちはいくつかの安全試験が失敗した後に設計を修正しなければならなかった。
moist	After the rain, the earth felt cool and moist beneath our feet.	雨の後、土は足の下でひんやりとしてしっとりしていた。	Keep the soil moist so the young seedlings can grow properly.	若い苗がきちんと育つように土を湿った状態に保ってください。
moisture	The morning dew left a layer of moisture on the grass, making it slippery.	朝露は草の上に湿気を残し、滑りやすくしていました。	Too much moisture in the basement eventually caused the wood to rot.	地下室の湿気が多すぎたため、木材はやがて腐ってしまった。
mold	The sculptor used clay to mold a figure resembling an ancient Greek statue.	彫刻家は粘土を使って、古代ギリシャの像に似た人物を形作りました。	Early experiences and teachers often mold a child's character deeply.	幼少期の経験や教師はしばしば子どもの人格を深く形作る。
molecule	Scientists are studying the structure of this complex molecule to understand its function.	科学者たちはこの複雑な分子の構造を研究し、その機能を理解しようとしています。	A single water molecule contains two hydrogen atoms and one oxygen atom.	一つの水分子は水素原子2個と酸素原子1個を含んでいる。
moment	Just for a moment, let's imagine what life would be like in the future.	ほんの一瞬だけ、未来の生活がどのようなものになるか想像してみましょう。	At that exact moment, she finally understood his true intention.	その正確な時点で、彼女はついに彼の本当の意図を理解した。
momentary	The momentary lapse in concentration caused him to make a critical error.	注意力の瞬間的な低下が、彼に重大なミスを犯させた。	He felt a momentary flash of doubt before signing the contract.	彼は契約書に署名する前に瞬間的な迷いを感じた。
momentum	The team gained momentum throughout the game, eventually winning by a large margin.	チームは試合中に勢いを得て、最終的には大きな差で勝利した。	The campaign gained momentum quickly after the surprising television interview.	その運動はその驚くべきテレビインタビューの後、急速に勢いを増した。
monarch	The young monarch addressed the nation with a message of hope and unity.	その若き君主は、希望と団結のメッセージを国民に語りかけました。	The young monarch inherited the throne after her father's sudden death.	その若い君主は父の突然の死の後に王位を継承した。
monarchy	Many countries have transitioned from monarchy to a democratic system of government.	多くの国が君主制から民主的な政府システムへと移行しました。	The country abolished its monarchy and became a republic in 1970.	その国は1970年に君主制を廃止して共和国になった。
monetary	The government implemented new policies to address the country's monetary challenges and inflation.	政府は、国の金融問題とインフレに対処するための新しい政策を実施しました。	The central bank adjusted its monetary policy to control rising inflation.	中央銀行は上昇するインフレを抑えるため貨幣政策を調整した。
monitor	Doctors need to monitor his blood pressure regularly to ensure it remains within a safe range.	医師は彼の血圧を定期的に監視して、安全な範囲内にあることを確認する必要がある。	Nurses monitor a patient's heart rate throughout the entire surgery.	看護師たちは手術中ずっと患者の心拍数を監視する。
monk	The young monk spent years meditating in a remote mountain temple, seeking enlightenment.	その若い僧は、悟りを開くために、人里離れた山の寺で何年も瞑想にふけりました。	Each morning, the old monk prayed quietly inside the temple grounds.	毎朝、その老僧は寺の境内で静かに祈った。
monologue	The actor delivered a powerful monologue that captivated the entire audience.	その俳優は観客全体を魅了する力強い独白を披露しました。	The actor delivered a long monologue near the end of the play.	その俳優は劇の終盤近くで長い独白を述べた。
monopoly	The company’s monopoly on essential medicines raised concerns about pricing and accessibility.	その会社が必須医薬品の独占権を持っていることが、価格とアクセシビリティに関する懸念を引き起こしました。	For decades, the company held a complete monopoly over the regional telephone market.	何十年もの間、その会社は地域の電話市場を完全に独占していた。
monotonous	The monotonous drone of the machinery lulled her into a sleepy state.	機械の単調な音は彼女を眠気のある状態に誘いました。	The factory job became monotonous after doing the same task daily.	同じ作業を毎日していると、その工場の仕事は単調なものになった。
month	We usually pay our rent at the beginning of each month.	私たちは通常、毎月の初めに家賃を支払います。	Rent is usually due on the first day of the month.	家賃はふつう、月の最初の日に支払われる。
monument	The ancient temple stands as a monument to the skill and artistry of its creators.	その古代の寺院は、創造者の技術と芸術性を示す記念碑としてそびえ立っています。	Tourists gather every day to photograph the famous stone monument.	観光客たちは毎日その有名な石の記念碑を写真に撮るために集まる。
monumental	Building the new bridge was a monumental undertaking requiring years of planning and effort.	新しい橋を建設することは、長年の計画と努力を必要とする記念碑的な事業でした。	Her research marked a monumental breakthrough in modern cancer treatment.	彼女の研究は現代のがん治療におけるきわめて重要な進歩となった。
mood	The gloomy weather put me in a reflective mood, prompting quiet contemplation.	どんよりとした天気は私を思索的な気分にさせ、静かな内省を促しました。	Soft lighting can instantly change the mood of an entire room.	柔らかい照明は部屋全体の気分を一瞬で変えることができる。
moral	Her moral compass guided her decisions, even when they were difficult.	彼女の道徳心は、困難な状況でも彼女の決断を導いた。	Parents have a moral duty to protect their children from harm.	親には子どもを害から守る道徳的な義務がある。
morality	Debates about morality often involve complex questions about right and wrong actions.	道徳についての議論はしばしば、正しい行動と間違った行動に関する複雑な問題を扱います。	Philosophers have debated the nature of morality for over two thousand years.	哲学者たちは2000年以上にわたって道徳の本質について議論してきた。
morally	It is morally wrong to lie or deceive others for personal gain.	個人的な利益のために嘘をついたり人を欺いたりすることは道徳的に誤りです。	The lawyer argued that the decision was morally wrong, not merely illegal.	その弁護士はその決定は単に違法なだけでなく道徳的に間違っていると主張した。
more_and_more	More and more people are choosing to work remotely due to its flexibility.	ますます多くの人々が、その柔軟性からリモートワークを選ぶようになっています。	More and more students are choosing to study data science.	ますます多くの学生がデータサイエンスを学ぶことを選んでいる。
more_often_than_not	More often than not, the train is delayed during rush hour, so leave early.	普通はラッシュアワー中に電車が遅れるので、早めに出発しましょう。	More often than not, the simplest solution turns out to be correct.	たいていの場合、最も単純な解決策が正しいとわかる。
more_or_less	The project is more or less finished, but there are still a few minor details to address.	プロジェクトはほぼ完了していますが、まだいくつかの細かい点を修正する必要があります。	The final results were more or less what the researchers had expected.	最終結果は研究者たちが予想していたものと多かれ少なかれ同じだった。
more_than	The new stadium holds more than fifty thousand spectators for each game.	新しいスタジアムは、試合ごとに5万人以上を収容できます。	More than a thousand volunteers showed up to help after the flood.	その洪水の後、千人より多いボランティアが手伝いに駆けつけた。
moreover	The weather was beautiful, moreover, the tickets were surprisingly affordable.	天気は素晴らしく、その上、チケットの値段も驚くほど手頃でした。	The plan saved money; moreover, it saved time.	その計画はお金を節約し、その上時間も節約した。
mortal	Despite his ambition, he was just a mortal man and would eventually face his end.	野心があったにもかかわらず、彼はただの人間であり、いつかは終末を迎えるだろう。	The knight suffered a mortal wound during the final battle.	その騎士は最後の戦いで致命的な傷を負った。
mortality	Philosophers have contemplated the nature of mortality and human existence for centuries.	哲学者たちは何世紀にもわたって人間の死すべき運命と存在の本質について熟考してきました。	Better sanitation dramatically reduced child mortality across the entire country.	衛生状態の改善は国全体で子どもの死亡率を劇的に減少させた。
mortgage	They secured a mortgage from the bank to purchase their dream home near the beach.	彼らは住宅ローンを取得し、ビーチ近くの夢の家を購入した。	The young couple finally paid off their mortgage after fifteen years.	その若い夫婦は15年かけてついに住宅ローンを完済した。
mosquito	The mosquito bite itched terribly, making it difficult to concentrate on my work.	蚊に刺された箇所がひどく痒くて、仕事に集中できませんでした。	A single mosquito bite left her arm itchy for days.	たった一匹の蚊に刺されて彼女の腕は何日もかゆかった。
moss	A carpet of green moss covered the rocks in the shaded forest glen.	緑色のコケが一面に広がり、日陰の森の中の岩を覆っていました。	Thick green moss had completely covered the ancient stone wall by autumn.	秋までには厚い緑のコケがその古い石壁を完全に覆っていた。
most	Most students enjoy listening to music while they study for exams.	ほとんどの学生は、試験勉強をしながら音楽を聴くことを楽しんでいます。	Most passengers on that flight were traveling for business reasons.	その便の大部分の乗客はビジネス目的で移動していた。
most_one_all_some_of	Most of the students enjoyed the lecture, although some found it slightly too technical.	学生のほとんどがその講義を楽しみましたが、一部の人にとっては少し難しすぎました。	Most of the students finished the difficult exam ahead of time.	生徒のほとんどはその難しい試験を時間より早く終えた。
mostly	The students mostly enjoyed the lecture, although a few found it difficult to follow.	学生たちは主にその講義を楽しんだようですが、一部の学生は理解に苦労したようです。	Our customers are mostly young families living near the coast.	私たちの顧客は主に海岸近くに住む若い家族だ。
moth	The moth fluttered around the porch light, drawn to its warm glow.	そのガは暖かい光に引き寄せられ、軒下のライトの周りを舞い飛びました。	A large moth flew toward the bright porch light at night.	夜、大きなガが明るい玄関の明かりに向かって飛んできた。
motion	The committee will vote on the motion to approve the new budget proposal next week.	委員会は来週、新しい予算案を承認する動議について投票を行う予定です。	The sudden motion of the branch startled the sleeping cat.	枝の急な動きが眠っていた猫を驚かせた。
motivate	The coach's encouraging words really motivate the team to train harder every day.	コーチの励ましの言葉は、チームを毎日もっと一生懸命に練習するように奮い立たせる。	A good coach knows how to motivate tired athletes before the final match.	優れたコーチは決勝戦の前に疲れた選手たちに動機を与える方法を知っている。
motive	Detectives struggled to determine the suspect's motive for committing such a senseless crime.	探偵たちは、そのような無意味な犯罪を実行した容疑者の動機を特定するのに苦労しました。	Police could not determine a clear motive behind the strange robbery.	警察はその奇妙な強盗の背後にある明確な動機を特定できなかった。
motor	The electric motor powered the small fan, circulating air throughout the room.	モーターが小型扇風機を動かし、部屋全体に空気を循環させていました。	After twenty years of constant use, the old motor finally stopped working.	20年間絶え間なく使われた後、その古いモーターはついに動かなくなった。
mount	Hikers will mount the mountain trail early tomorrow morning to avoid the heat.	ハイカーたちは明日早朝に登山道を始めるでしょう、暑さを避けるためです。	Workers mounted a large screen on the wall of the conference room.	作業員たちは会議室の壁に大きな画面を据え付けた。
mourn	The entire nation will mourn the loss of the beloved and respected leader.	国民全員で尊敬されるリーダーの死を悼むことになります。	The whole village gathered to mourn their beloved former teacher.	村中の人々が敬愛する元教師を悼むために集まった。
move	The powerful speech moved the audience to tears with its emotional appeal.	その感動的なスピーチは聴衆を涙で感動させました。	Workers slowly moved the heavy old piano across the stage.	作業員たちは、重くて古いピアノをゆっくりとステージの向こうへ動かした。
movement	The environmental movement is gaining momentum as more people become aware of climate change.	環境保護運動は、気候変動に対する人々の意識が高まるにつれて勢いを増している。	The civil rights movement changed American society throughout the twentieth century.	公民権運動は20世紀を通じてアメリカ社会を変えた。
much	I'd like to travel, but I don’t have much free time these days.	旅行したいけれど、最近はあまり時間がないんです。	He can barely swim, much less compete in a triathlon.	彼はほとんど泳げず、ましてトライアスロンに出場するなどできない。
much_still_less	He can’t even drive; much less is he allowed to borrow the car.	彼は運転すらできない、まして車を借りることは許可されていません。	She has never cooked rice, still less prepared a full dinner.	彼女はご飯を炊いたことすらなく、まして夕食を用意したことなどない。
mud	After the rainstorm, thick mud made walking difficult and messy for everyone.	大雨の後、厚い泥が誰にとっても歩きにくく、汚れたものになった。	Her boots sank deep into the mud after the rain.	雨の後、彼女の長靴は泥に深く沈んだ。
muddle	Don't muddle the instructions; read them carefully before you start assembling the furniture.	説明書を混乱させるな；組み立てを始める前に注意深く読んでください。	Confusing instructions completely muddled the new employees during training.	紛らわしい指示は研修中の新入社員たちを完全に混乱させた。
muddy	After the rain, the path was muddy and difficult to walk on.	雨の後、道は泥だらけで歩きにくかった。	Heavy rain turned the narrow country road completely muddy overnight.	大雨は一晩でその狭い田舎道を完全に泥だらけにした。
mule	Historically, farmers often used a mule to help pull heavy loads across fields.	昔の農家はよくラバを使って畑を横切って重い荷物を引いていた。	Farmers still use a mule to carry goods up the mountain.	農民たちは今でも山へ荷物を運ぶためにラバを使っている。
multicultural	The school strives to create a welcoming and inclusive environment for its multicultural student body.	学校は、多文化的な学生のために親しみやすく包括的な環境を作り出すよう努めている。	The city has become increasingly multicultural over the past few decades.	その都市はここ数十年でますます多文化的になってきた。
multiple	She has multiple hobbies, including painting, playing music, and writing poetry.	彼女は絵を描いたり、音楽を演奏したり、詩を書いたりするなど、複数の趣味を持っています。	Shoppers can choose this new phone in multiple colors to suit personal taste.	買い物客はこの新しい携帯電話を好みに合わせて多様な色から選ぶことができる。
multiply	If you multiply 7 by 8, the answer is 56.	7に8を掛けると、答えは56になる。	The startup wants to multiply its profits within just two years.	そのスタートアップはわずか2年で利益を増やしたいと考えている。
multitude	A multitude of stars filled the night sky on a clear summer evening.	晴れた夏の夜空には、無数の星が輝いていた。	A multitude of tourists visit the ancient temple every single day.	多数の観光客が毎日その古代の寺院を訪れる。
mumble	He often mumbles when he’s nervous, making it difficult to understand him.	彼は緊張するとつぶやきがちで、彼を理解するのが難しくなる。	Embarrassed, the student mumbled an apology and quickly left the room.	恥ずかしそうに、その生徒は謝罪をつぶやいてすぐに部屋を出た。
mummy	The children were fascinated by the ancient Egyptian mummy in the museum’s exhibit.	子供たちは博物館の展示にあった古代エジプトのミイラに魅了されました。	Archaeologists carefully unwrapped the ancient mummy inside the stone tomb.	考古学者たちは石の墓の中で古代のミイラを慎重に開いた。
mundane	She found her daily routine rather mundane and longed for something more exciting.	彼女は日々のルーチンを退屈だと感じており、もっと刺激的なことを望んでいた。	Washing dishes every night felt like the most mundane chore imaginable.	毎晩皿を洗うことは想像できる限り最も平凡な家事のように感じられた。
municipal	The city council discussed improvements to the municipal parks and recreational facilities.	市議会は、市の公園やレクリエーション施設を改善することについて議論した。	New municipal regulations require all restaurants to display calorie information.	新しい市の規制はすべてのレストランにカロリー情報の表示を義務づけている。
murder	The investigation into the murder remains open, and detectives are pursuing several leads.	殺人事件の捜査は継続中で、刑事たちはいくつかの手がかりを追っています。	The detective investigated the mysterious murder case for several weeks.	探偵は数週間にわたってその謎めいた殺人事件を捜査した。
murmur	I could hear a faint murmur of voices coming from the next room.	次の部屋からかすかな声のざわめきが聞こえた。	A low murmur spread through the crowd as the results appeared.	結果が発表されると、群衆の間にかすかな音が広がった。
muscle	Regular exercise is essential for building muscle and improving overall fitness.	定期的な運動は筋肉をつけ、全体的な体力向上に不可欠です。	Years of training gave the swimmer remarkably strong shoulder muscles.	何年ものトレーニングがその水泳選手に驚くほど強い肩の筋肉を与えた。
museum	The museum's collection of ancient artifacts is truly impressive and fascinating.	その博物館の古代遺物コレクションは本当に素晴らしくて魅力的です。	Our whole class visited a famous science museum last Friday.	私たちのクラス全員は、先週の金曜日に有名な博物館を訪れた。
mush	The chef asked us not to mush the potatoes too much while making mashed potatoes.	料理人は、マッシュポテトを作る際にポテトをあまりつぶさないように言った。	Grandma used to mush the bananas before feeding the baby.	祖母は赤ちゃんに食べさせる前によくバナナをつぶしていた。
muslim	Many Muslim communities celebrate Eid al-Fitr with feasts and prayers at the end of Ramadan.	多くのイスラム教徒のコミュニティは、ラマダンの終わりに、ごちそうと祈りと共にイード・アル＝フィトルを祝います。	Millions of Muslim pilgrims travel to Mecca every single year.	何百万人ものイスラム教徒の巡礼者が毎年メッカへ旅をする。
must_have	She must have studied very hard to achieve such excellent results.	彼女はそれほど素晴らしい結果を出すために必死に勉強したに違いない。	He must have left his umbrella on the crowded morning train.	彼は混んだ朝の電車に傘を置き忘れたに違いない。
mutation	Genetic mutation can sometimes lead to unpredictable changes in an organism’s traits.	遺伝的突然変異は、時には生物の形質に予測不可能な変化をもたらすことがあります。	A rare genetic mutation gave the butterfly its unusual blue wings.	まれな遺伝子の突然変異がそのチョウに珍しい青い翅を与えた。
mutter	He began to mutter under his breath when he realized he’d made a mistake.	彼は間違いに気づくと、つぶやくようになった。	Under his breath, a quiet mutter escaped before he apologized aloud.	小声で、彼が謝る前に静かなつぶやきが漏れた。
mutual	The agreement was based on a mutual understanding of both parties’ needs.	その合意は、両当事者のニーズに対する相互理解に基づいていました。	The two rivals eventually developed mutual respect after years of competition.	その二人のライバルは長年の競争の末にやがて相互の尊敬を育んだ。
my_pleasure	Thank you for your help; my pleasure to assist you with the problem.	助けてくれてありがとう。問題解決のお手伝いはどういたしまして。	"Thank you for driving me home," she said, and he replied, "My pleasure."	「家まで送ってくれてありがとう」と彼女が言うと、彼は「どういたしまして」と答えた。
mystery	The disappearance of the valuable painting remains a complete mystery to investigators.	その価値ある絵画の失踪は、捜査官にとって完全な謎のままです。	After months of investigation, the detective finally solved the mystery.	何か月もの捜査の末、探偵はついにその謎を解決した。
mystical	The ancient forest held a mystical aura that captivated all who entered its depths.	その古代の森は、深みに足を踏み入れたすべての人を魅了する神秘的な雰囲気を帯びていた。	Visitors rarely forgot the mystical atmosphere inside the old cathedral.	訪問者たちはその古い大聖堂の中の神秘的な雰囲気をめったに忘れなかった。
